Portuguese,English
ir,go
história,history
procurar,search
só,only
polícia,police
PENSEI,thought
ajuda,help
solicitar,request
Gentil,kind
mês,month
irmão,brother
deixar,let
porque,because
para colocar,to put
não,no
coleira,leash
eles,them
cidade,city
Cada,each
falar,speak
vir,come
Deve,should
bebê,baby
muito tempo,long time
HORAS,hours
vai,will
enquanto,while
Encontrar de novo,meet again
algum,any
quadrado,square
falar,speak
entendido,understood
SABIA,knew
estavam,were
Aviso,Warning
aqui está,here is
poderia,could
caixa,box
dar,give
modelo,model
seus,their
dado,given
Trem,train
corpo,body
quadrado,place
olho,eyes
caminho,way
ouço,listen
de quem,whose
achar,find
abetos,first
perdido,lost
mão,hand
abetos,first
lado,side
POTÊNCIA,power
Velho,old
ser,be
aqui,here
manhã,morning
Muito,so much
filho,child
apontar,point
campainha,came
após,after
desculpa,sorry
vir,come
em frente,in front of
para,towards
minutos,minutes
solicitar,request
quarto,bedroom
colocada,placed
bela,beautiful
Lei,law
GOSTARIA DE,would like to
hoje,today
marido,husband
causa,cause
finalmente,finally
Esperança,hope
água,water
Espere,Wait
deixou,left
novo,new
trabalho,job
Pare,Stop
Diria,would say
Terreno,Ground
conta,account
dado,given
longe,far
fim,end
acreditam,believe
Amada,sweetheart
ampla,large
rato,rather
Terá,will have
garotas,girls
jogar,to play
escritório,office
